x,y,z,pitch,yaw,roll,state,trigger,type
-0.1346372,1.624577,0.5275905,3.802863,18.07529,1.405827,0,0,Grayscale
-0.136619,1.625511,0.5262547,3.366443,18.27046,1.32371,0,0,Grayscale
-0.1375908,1.625882,0.524935,3.076536,18.80947,1.005463,0,0,Grayscale
-0.1361404,1.627418,0.5239689,2.950591,22.07799,1.21271,0,0,Grayscale
-0.1227461,1.631254,0.5163921,2.252571,37.84237,0.7101725,0,0,Grayscale
-0.1107433,1.627898,0.5018359,3.408016,60.17443,-0.8604736,0,0,Grayscale
-0.1065809,1.622037,0.4729963,6.890003,88.64016,-2.461548,0,0,Grayscale
-0.1191871,1.616878,0.4449821,8.430619,115.4232,-0.9141846,0,0,Grayscale
-0.1393285,1.614177,0.4225596,8.005174,133.8994,1.94457,0,0,Grayscale
-0.1654514,1.615614,0.3999736,6.34463,147.1167,3.032269,0,0,Grayscale
-0.1942644,1.616333,0.3797116,4.746775,158.3129,2.859956,0,0,Grayscale
-0.2210984,1.614511,0.3646991,3.374457,167.7619,2.716372,0,0,Grayscale
-0.259131,1.610568,0.3510394,1.548179,-174.462,4.385547,0,0,Grayscale
-0.2924706,1.606232,0.352272,3.286271,-158.8643,4.485802,0,0,Grayscale
-0.313168,1.602903,0.3681403,4.929872,-146.7516,2.492947,0,0,Grayscale
-0.3222826,1.601101,0.3866962,5.880947,-136.882,1.461701,0,0,Grayscale
-0.3281579,1.600685,0.4050705,6.002421,-129.2758,1.985689,0,0,Grayscale
-0.3307195,1.600784,0.4192064,5.526502,-124.4925,1.826642,0,0,Grayscale
-0.3299583,1.599944,0.4281887,4.930974,-122.3091,2.349614,0,0,Grayscale
-0.3300959,1.599746,0.4348225,5.1991,-120.3808,3.403639,0,0,Grayscale
-0.3306829,1.600219,0.4371625,5.318294,-118.9123,3.867881,0,0,Grayscale
-0.3327194,1.605392,0.4303753,5.477572,-119.7024,2.217339,0,0,Grayscale
-0.3373529,1.604188,0.4181131,4.889296,-122.1866,2.007575,0,0,Grayscale
-0.3279122,1.604104,0.3938037,5.787426,-132.4748,-2.335571,0,0,Grayscale
-0.3144838,1.609131,0.3791086,4.874874,-136.7339,-1.572968,0,0,Grayscale
-0.3014064,1.611322,0.3686447,3.36656,-141.7573,-0.2982178,0,0,Grayscale
-0.2932399,1.613311,0.3599821,1.781425,-145.2679,0.699465,0,0,Grayscale
-0.2871946,1.612488,0.3563859,0.8200646,-147.1495,1.364692,0,0,Grayscale
-0.2793684,1.615999,0.3594287,0.3659881,-147.5979,2.04052,0,0,Grayscale
