x,y,z,pitch,yaw,roll,state,trigger,type
0.3855515,1.616945,0.219578,-6.206482,-2.615448,0.7912543,1,0,Base
0.3853337,1.616802,0.2203424,-5.956451,-2.607147,0.7130114,1,0,Base
0.3857142,1.616492,0.2210603,-5.858826,-2.667358,0.6372812,1,0,Base
0.3881417,1.616468,0.2197395,-5.749603,-1.43988,0.3732194,1,0,Base
0.3900221,1.614855,0.2176428,-4.731201,-0.4865723,-0.07302856,1,0,Base
0.3910238,1.611543,0.2148841,-2.405243,0.5732793,-0.5067139,1,0,Base
0.3970662,1.607096,0.2136456,0.4037572,5.386323,-1.427246,0,0,Base
0.4105013,1.604518,0.2141844,1.325901,15.44473,-2.937164,0,0,Base
0.4342867,1.602469,0.2132895,2.082404,32.33846,-4.916229,0,0,Base
0.4620843,1.601995,0.2097446,2.055587,50.90869,-5.143799,0,0,Base
0.4916299,1.59934,0.1970993,2.065353,67.34653,-3.505096,0,0,Base
0.520014,1.595375,0.1724678,2.69628,78.42758,-3.333984,0,0,Base
0.5462405,1.594479,0.1392467,3.05685,87.22617,-6.731201,0,0,Base
0.5630667,1.589824,0.1018681,4.923335,98.13781,-9.244049,0,0,Base
0.5669164,1.588447,0.06570775,5.234358,111.8342,-11.40363,0,0,Base
0.5595593,1.590379,0.03848557,5.735986,126.8255,-13.74405,0,0,Base
0.5450433,1.58935,0.02737652,6.719089,143.5204,-14.16428,0,0,Base
0.5307355,1.593505,0.03546427,6.923541,157.5803,-12.48761,0,0,Base
0.5199862,1.597785,0.05520076,6.371627,169.6593,-10.09995,0,0,Base
0.5113346,1.589054,0.08285765,10.27999,179.9396,-9.226013,0,0,Base
0.5063685,1.583141,0.1079205,11.49672,-167.3225,-7.531555,0,0,Base
0.4983892,1.582696,0.1317757,10.789,-155.0009,-3.762787,0,0,Base
0.4837888,1.585263,0.1542749,11.38611,-147.3473,-3.460083,0,0,Base
0.4612454,1.587844,0.1786413,9.670613,-139.4001,-2.428284,0,0,Base
0.4294316,1.58901,0.2075383,8.782324,-129.0319,-4.054413,0,0,Base
0.4040902,1.590823,0.2332659,8.305002,-120.7798,-4.544342,0,0,Base
0.3874531,1.590794,0.2508439,7.930389,-115.959,-6.845306,0,0,Base
0.3789937,1.590066,0.2583083,8.053398,-113.0345,-6.836121,0,0,Base
0.3788381,1.590827,0.2603357,8.029026,-112.3678,-5.564819,0,0,Base
0.3821906,1.592415,0.2601621,7.242774,-113.0515,-5.616058,0,0,Base
0.3842682,1.593561,0.2587366,6.536754,-113.1515,-5.351532,0,0,Base
0.3880902,1.59485,0.250022,6.450957,-117.9695,-5.291199,0,0,Base
0.4124597,1.596867,0.2125675,6.023699,-146.5274,-5.314362,0,0,Base
0.4678592,1.597488,0.1855449,5.011617,173.4418,-4.197113,0,0,Base
0.5086836,1.59636,0.1867534,3.839257,149.4197,-3.582245,0,0,Base
0.5289577,1.593429,0.1888901,4.581051,137.2306,-3.296631,0,0,Base
0.5289631,1.595032,0.1770994,5.470662,137.1688,-2.44339,0,0,Base
0.5189011,1.598722,0.1601433,3.876924,142.1855,-1.017731,0,0,Base
0.506064,1.60009,0.1434708,3.830728,147.7624,0.2169574,0,0,Base
0.4922941,1.598453,0.1324929,4.120927,151.3823,0.6450281,0,0,Base
0.4791097,1.596447,0.1248984,4.441677,152.7773,0.617642,0,0,Base
0.4658562,1.594695,0.1193064,4.586802,153.5804,0.3629778,0,0,Base
0.4559622,1.593939,0.1164763,4.612775,150.2384,-0.1734924,0,0,Base
0.4556071,1.59265,0.1137595,4.579211,141.0093,-0.6985474,0,0,Base
0.4702056,1.591129,0.1179389,5.488387,120.5433,-1.20517,0,0,Base
0.4846918,1.587792,0.1340184,6.791518,97.89238,-2.019348,0,0,Base
0.4940481,1.582244,0.1694743,8.013433,67.60711,-5.046631,0,0,Base
0.4919854,1.580681,0.1943926,7.667792,51.01297,-7.263367,0,0,Base
0.4922451,1.581141,0.2054376,7.829671,48.23486,-6.588013,0,0,Base
0.4950989,1.584108,0.206037,7.19003,53.91718,-5.131531,0,0,Base
0.4965463,1.587861,0.2053336,6.087029,58.52252,-4.077911,0,0,Base
0.4950013,1.590184,0.2057662,5.258024,61.83589,-3.409943,0,0,Base
0.4909009,1.591958,0.2076001,5.01529,64.14986,-2.737152,0,0,Base
0.485317,1.593212,0.2109762,4.303155,65.82574,-1.620117,0,0,Base
0.4784788,1.594055,0.2157125,3.899075,66.10214,-1.382141,0,0,Base
