Height, Angle, State, IsTriggered, Intervention
1.570562,-1.328491,1,0,Base
1.572508,-1.962494,1,0,Base
1.575588,-3.5867,0,0,Base
1.575588,-3.5867,0,0,Base
1.575588,-3.5867,0,0,Base
1.575588,-3.5867,0,0,Base
1.582979,-7.414978,0,0,Base
1.584514,-7.247955,0,0,Base
1.586546,-7.719727,0,0,Base
1.5867,-8.156189,0,0,Base
1.585275,-8.585144,0,0,Base
1.58806,-8.729462,0,0,Base
1.584585,-7.242798,0,0,Base
1.583495,-6.005737,0,0,Base
1.581893,-5.803192,0,0,Base
1.58339,-6.721436,0,0,Base
1.587948,-7.761383,0,0,Base
1.589487,-9.373932,0,0,Base
1.590907,-10.30502,0,0,Base
1.588448,-10.00967,0,0,Base
1.581221,-7.936523,0,0,Base
1.578422,-8.198639,0,0,Base
1.579959,-8.476166,0,0,Base
1.583772,-8.901337,0,0,Base
1.582774,-9.670715,0,0,Base
1.584408,-9.161652,0,0,Base
1.58503,-8.819977,0,0,Base
1.585207,-8.947449,0,0,Base
1.586075,-9.37796,0,0,Base
1.586001,-9.330627,0,0,Base
1.586789,-9.56662,0,0,Base
1.587602,-10.19617,0,0,Base
1.586415,-9.877228,0,0,Base
1.583803,-8.398743,0,0,Base
1.581308,-6.3349,0,0,Base
1.581182,-6.89447,0,0,Base
1.582605,-7.630249,0,0,Base
1.584433,-8.489105,0,0,Base
1.585552,-9.07135,0,0,Base
1.58705,-9.934845,0,0,Base
1.587599,-10.25232,0,0,Base
1.587356,-10.43561,0,0,Base
1.586878,-9.993011,0,0,Base
1.586572,-9.904114,0,0,Base
1.585984,-9.455811,0,0,Base
1.585797,-9.258209,0,0,Base
1.585712,-9.270477,0,0,Base
1.585954,-9.350189,0,0,Base
1.585625,-9.118591,0,0,Base
1.584768,-8.670624,0,0,Base
1.58453,-8.433929,0,0,Base
1.583806,-7.905792,0,0,Base
1.584006,-7.925964,0,0,Base
1.584569,-8.151337,0,0,Base
1.584223,-7.945129,0,0,Base
1.583723,-7.719208,0,0,Base
1.583573,-7.627075,0,0,Base
1.583532,-7.602997,0,0,Base
1.583605,-7.624329,0,0,Base
1.583782,-7.69574,0,0,Base
1.583974,-7.754272,0,0,Base
1.583968,-7.822754,0,0,Base
1.584302,-8.062225,0,0,Base
1.584625,-8.309601,0,0,Base
1.584677,-8.205627,0,0,Base
1.58397,-7.861816,0,0,Base
1.58389,-7.739136,0,0,Base
1.583418,-7.531158,0,0,Base
1.583291,-7.384827,0,0,Base
1.583573,-7.426819,0,0,Base
1.583723,-7.431244,0,0,Base
1.583398,-7.324402,0,0,Base
1.583246,-7.394989,0,0,Base
1.583159,-7.211578,0,0,Base
1.583056,-7.173157,0,0,Base
1.582694,-6.888672,0,0,Base
1.582823,-6.829681,0,0,Base
1.582706,-6.817261,0,0,Base
1.58276,-6.816132,0,0,Base
1.582733,-6.795227,0,0,Base
1.582628,-6.775085,0,0,Base
1.582575,-6.727875,0,0,Base
1.582554,-6.679901,0,0,Base
1.582766,-6.747253,0,0,Base
1.582992,-6.865234,0,0,Base
1.58294,-6.78717,0,0,Base
1.583152,-6.822906,0,0,Base
1.583044,-6.828522,0,0,Base
1.582957,-6.767944,0,0,Base
1.582668,-6.54953,0,0,Base
1.582478,-6.467407,0,0,Base
1.582463,-6.408752,0,0,Base
1.582622,-6.373535,0,0,Base
1.582921,-6.393188,0,0,Base
1.582938,-6.429413,0,0,Base
1.5818,-6.157532,0,0,Base
1.580941,-6.037415,0,0,Base
1.579358,-5.639404,0,0,Base
1.578538,-5.325592,0,0,Base
1.577031,-4.647888,0,0,Base
1.577488,-3.530701,0,0,Base
1.580311,-4.074249,0,0,Base
1.575893,-4.53479,0,0,Base
1.580084,-6.388245,0,0,Base
1.58028,-7.54187,0,0,Base
1.582615,-6.209961,0,0,Base
1.583498,-6.9935,0,0,Base
1.583642,-7.251556,0,0,Base
1.582095,-6.957825,0,0,Base
1.582519,-6.812286,0,0,Base
1.581833,-6.875671,0,0,Base
1.582895,-7.263428,0,0,Base
1.584426,-8.324127,0,0,Base
1.583031,-8.170685,0,0,Base
1.582934,-8.636505,0,0,Base
1.581426,-8.61499,0,0,Base
1.581209,-8.904907,0,0,Base
1.580353,-9.34903,0,0,Base
1.580081,-9.099213,0,0,Base
1.580089,-9.174255,0,0,Base
1.580737,-9.394165,0,0,Base
1.582382,-9.793396,0,0,Base
1.584411,-10.76447,0,0,Base
1.584882,-10.38242,0,0,Base
1.584323,-9.494507,0,0,Base
1.584752,-9.490845,0,0,Base
1.584455,-9.557617,0,0,Base
1.582469,-8.911316,0,0,Base
1.581889,-8.387177,0,0,Base
1.586119,-8.004944,0,0,Base
1.5885,-8.711304,0,0,Base
1.587536,-9.100739,0,0,Base
1.585338,-8.981354,0,0,Base
1.581463,-8.270599,0,0,Base
1.58387,-7.415131,0,0,Base
1.57598,-8.1474,0,0,Base
1.572245,-6.948608,1,0,Base
1.576592,-7.279999,0,0,Base
1.582813,-7.231689,0,0,Base
1.586334,-6.986603,0,0,Base
1.59012,-8.69223,0,0,Base
1.590618,-7.786133,0,0,Base
1.587287,-6.714722,0,0,Base
1.586449,-6.035309,0,0,Base
1.583771,-7.191498,0,0,Base
1.587747,-8.182678,0,0,Base
1.586091,-7.804321,0,0,Base
1.585066,-8.429108,0,0,Base
1.5842,-6.997833,0,0,Base
1.583529,-6.474182,0,0,Base
1.583347,-6.749207,0,0,Base
1.584749,-8.076813,0,0,Base
1.585869,-8.309235,0,0,Base
1.586747,-8.878113,0,0,Base
1.587197,-9.534027,0,0,Base
1.587758,-10.35757,0,0,Base
1.588213,-10.38428,0,0,Base
1.587693,-10.39743,0,0,Base
1.587294,-10.12823,0,0,Base
1.58762,-10.35593,0,0,Base
1.588481,-10.772,0,0,Base
1.588516,-10.82172,0,0,Base
1.587279,-10.1843,0,0,Base
1.586802,-9.898743,0,0,Base
1.586498,-9.711853,0,0,Base
1.586391,-9.592468,0,0,Base
1.586342,-9.518127,0,0,Base
1.585934,-9.253235,0,0,Base
1.585603,-9.113068,0,0,Base
1.585335,-8.979492,0,0,Base
1.585526,-9.123291,0,0,Base
1.58549,-9.210327,0,0,Base
1.5854,-9.233856,0,0,Base
1.58538,-9.218384,0,0,Base
1.585522,-9.387115,0,0,Base
1.585119,-9.260223,0,0,Base
1.584974,-9.369598,0,0,Base
1.585374,-9.405121,0,0,Base
1.585335,-9.249237,0,0,Base
1.585366,-9.154175,0,0,Base
1.585243,-9.360016,0,0,Base
1.584928,-9.388641,0,0,Base
1.584579,-9.242554,0,0,Base
1.58697,-9.503113,0,0,Base
1.584599,-10.33035,0,0,Base
1.577327,-9.339386,0,0,Base
1.577928,-7.89444,0,0,Base
1.57921,-9.612213,0,0,Base
1.578666,-9.776428,0,0,Base
1.581385,-10.27246,0,0,Base
1.581406,-10.83661,0,0,Base
1.586707,-9.791168,0,0,Base
1.589559,-9.828308,0,0,Base
1.591659,-10.49585,0,0,Base
1.591735,-11.74075,0,0,Base
1.589542,-11.26224,0,0,Base
1.588387,-11.39163,0,0,Base
1.586523,-11.54248,0,0,Base
1.593391,-11.9632,0,0,Base
1.590178,-12.13123,0,0,Base
1.589607,-13.02246,0,0,Base
1.591988,-13.88437,0,0,Base
1.59331,-14.08264,0,0,Base
1.592922,-14.77963,0,0,Base
1.593684,-14.83005,0,0,Base
1.595202,-16.32013,1,0,Base
1.595132,-16.43069,1,0,Base
1.594793,-16.58749,1,0,Base
1.595715,-17.16113,1,0,Base
1.595371,-17.34323,1,0,Base
1.595461,-17.02664,1,0,Base
1.596032,-17.28937,1,0,Base
1.595406,-17.21136,1,0,Base
1.595468,-17.44083,1,0,Base
1.595281,-17.27768,1,0,Base
1.59403,-16.4465,1,0,Base
1.592895,-15.75671,1,0,Base
1.593545,-16.21954,1,0,Base
1.594568,-16.8331,1,0,Base
1.594444,-16.64725,1,0,Base
1.594299,-16.72861,1,0,Base
1.594917,-16.6521,1,0,Base
1.594366,-16.37991,1,0,Base
1.594557,-16.3692,1,0,Base
1.594563,-16.62155,1,0,Base
1.595856,-17.21503,1,0,Base
1.594012,-16.31232,1,0,Base
1.594121,-16.26001,1,0,Base
1.593647,-15.80261,1,0,Base
1.594574,-16.43616,1,0,Base
1.595519,-16.88696,1,0,Base
1.594164,-16.03336,1,0,Base
1.593676,-16.06613,1,0,Base
1.593092,-15.33997,1,0,Base
1.593858,-15.61295,1,0,Base
1.593516,-15.42752,1,0,Base
1.592241,-14.65036,0,0,Base
1.591545,-13.90018,0,0,Base
1.591416,-13.68411,0,0,Base
1.591295,-13.8414,0,0,Base
1.591643,-13.80023,0,0,Base
1.59048,-13.05136,0,0,Base
1.589351,-12.30594,0,0,Base
1.588627,-11.47855,0,0,Base
1.587702,-11.54437,0,0,Base
1.587553,-11.36636,0,0,Base
1.585935,-10.91739,0,0,Base
1.585865,-10.92834,0,0,Base
1.585883,-10.49792,0,0,Base
1.582655,-8.647675,0,0,Base
1.582094,-8.480133,0,0,Base
1.582217,-8.546844,0,0,Base
1.584303,-8.494568,0,0,Base
1.57792,-9.58963,0,0,Base
1.574831,-9.911316,0,0,Base
1.574688,-10.62814,0,0,Base
1.569093,-8.919586,1,0,Base
1.571435,-8.142914,1,0,Base
1.573468,-8.015686,0,0,Base
1.579695,-8.041901,0,0,Base
1.577864,-8.853302,0,0,Base
1.579027,-7.863098,0,0,Base
1.578906,-9.340179,0,0,Base
1.580429,-8.554626,0,0,Base
1.585305,-9.797577,0,0,Base
1.58463,-9.906586,0,0,Base
1.590123,-10.58957,0,0,Base
1.588247,-10.57004,0,0,Base
1.591311,-11.05823,0,0,Base
1.591873,-12.11911,0,0,Base
1.592743,-12.0668,0,0,Base
1.591552,-12.07071,0,0,Base
1.591238,-11.57123,0,0,Base
1.590054,-10.88882,0,0,Base
1.589137,-10.31384,0,0,Base
1.588535,-9.771423,0,0,Base
1.586897,-9.221008,0,0,Base
1.579806,-6.678436,0,0,Base
1.568244,-4.221802,1,0,Base
1.559152,-2.862488,1,0,Base
1.56768,-4.368439,1,0,Base
1.572778,-7.039185,0,0,Base
1.572799,-10.10056,0,0,Base
1.571326,-8.674957,1,0,Base
1.566999,-5.290436,1,0,Base
1.565128,-2.851105,1,0,Base
1.566055,-2.744995,1,0,Base
1.568612,-2.502716,1,0,Base
1.570424,-3.362183,1,0,Base
1.57237,-4.016113,1,0,Base
1.576612,-5.406525,0,0,Base
1.578967,-6.549316,0,0,Base
1.579038,-6.677551,0,0,Base
1.578499,-6.50058,0,0,Base
1.578907,-6.732574,0,0,Base
1.579688,-7.230865,0,0,Base
1.579429,-7.202423,0,0,Base
1.582013,-8.353058,0,0,Base
1.585817,-9.972839,0,0,Base
1.584138,-9.315674,0,0,Base
1.584809,-10.19217,0,0,Base
1.584136,-9.584961,0,0,Base
1.584761,-10.07748,0,0,Base
1.584118,-9.306396,0,0,Base
1.585005,-9.790161,0,0,Base
1.58486,-9.846893,0,0,Base
1.585682,-10.16898,0,0,Base
1.585414,-9.975952,0,0,Base
1.585584,-10.14963,0,0,Base
1.585178,-9.905731,0,0,Base
1.585264,-10.21649,0,0,Base
1.58525,-10.38712,0,0,Base
1.585443,-10.85364,0,0,Base
1.585592,-10.79578,0,0,Base
1.586087,-11.15784,0,0,Base
1.584385,-10.13654,0,0,Base
1.583953,-10.03073,0,0,Base
1.58475,-10.50327,0,0,Base
1.58497,-10.5159,0,0,Base
1.589615,-12.7641,0,0,Base
1.589206,-12.95575,0,0,Base
1.588937,-12.86755,0,0,Base
1.587851,-12.13589,0,0,Base
1.587299,-11.95288,0,0,Base
1.586658,-11.48752,0,0,Base
1.586753,-11.15121,0,0,Base
1.587077,-11.56192,0,0,Base
1.585655,-11.00693,0,0,Base
1.585469,-10.97763,0,0,Base
1.586451,-11.59241,0,0,Base
1.587703,-12.1051,0,0,Base
1.587291,-11.90067,0,0,Base
1.586842,-11.80444,0,0,Base
1.586978,-11.79919,0,0,Base
1.586917,-11.81732,0,0,Base
1.586562,-11.67612,0,0,Base
1.586856,-11.9534,0,0,Base
1.586961,-11.9487,0,0,Base
1.586922,-11.89337,0,0,Base
1.58665,-11.78162,0,0,Base
1.586432,-11.61676,0,0,Base
1.586259,-11.59409,0,0,Base
1.585958,-11.35379,0,0,Base
1.58611,-11.49448,0,0,Base
1.584749,-10.61984,0,0,Base
1.584619,-10.71301,0,0,Base
1.584455,-10.48035,0,0,Base
1.584077,-10.35699,0,0,Base
1.58471,-10.63455,0,0,Base
1.585365,-10.98209,0,0,Base
1.583999,-9.933563,0,0,Base
1.587226,-10.28326,0,0,Base
1.590798,-14.07248,0,0,Base
1.586832,-10.93216,0,0,Base
1.58637,-11.24567,0,0,Base
1.585994,-11.26761,0,0,Base
1.585806,-11.17468,0,0,Base
1.585732,-11.25259,0,0,Base
1.585937,-11.58319,0,0,Base
1.588299,-12.91901,0,0,Base
1.588418,-13.00192,0,0,Base
1.588739,-13.34204,0,0,Base
1.590228,-14.81384,0,0,Base
1.589797,-14.45859,0,0,Base
1.589297,-14.1066,0,0,Base
1.588887,-13.89368,0,0,Base
1.588521,-13.71677,0,0,Base
1.58797,-13.35788,0,0,Base
1.587716,-13.25931,0,0,Base
1.587316,-12.93878,0,0,Base
1.587709,-13.08636,0,0,Base
1.587101,-12.76202,0,0,Base
1.588203,-13.27725,0,0,Base
1.587586,-12.97205,0,0,Base
1.586482,-12.23141,0,0,Base
1.586076,-12.21091,0,0,Base
1.583675,-11.08301,0,0,Base
1.585634,-12.26529,0,0,Base
1.586304,-12.31119,0,0,Base
1.585746,-12.09015,0,0,Base
1.585774,-12.03766,0,0,Base
1.586061,-12.33191,0,0,Base
1.58595,-12.13535,0,0,Base
1.588309,-13.5694,0,0,Base
1.588541,-13.8566,0,0,Base
1.587252,-13.34149,0,0,Base
1.585903,-12.65778,0,0,Base
1.586146,-12.74307,0,0,Base
1.587833,-13.63702,0,0,Base
1.587042,-13.95026,0,0,Base
1.579046,-12.36533,0,0,Base
1.570444,-11.55981,1,0,Base
1.563661,-13.39484,1,0,Base
1.574423,-11.69016,0,0,Base
1.580646,-11.92792,0,0,Base
1.578181,-11.99103,0,0,Base
1.576484,-10.13382,0,0,Base
1.576491,-10.73508,0,0,Base
1.580971,-10.60565,0,0,Base
1.58269,-11.85355,0,0,Base
1.584139,-13.01254,0,0,Base
1.583193,-13.23685,0,0,Base
1.583654,-12.98557,0,0,Base
1.584422,-12.64359,0,0,Base
1.592058,-13.99777,0,0,Base
1.593912,-15.23233,1,0,Base
1.591932,-14.96979,1,0,Base
1.58503,-10.50244,0,0,Base
1.580995,-7.889923,0,0,Base
1.569894,-1.397888,1,0,Base
1.568889,-1.31488,1,0,Base
1.568671,-1.938263,1,0,Base
1.568973,-2.34198,1,0,Base
1.571497,-2.783569,1,0,Base
1.571556,-3.664398,1,0,Base
1.568489,-4.846283,1,0,Base
1.56717,-2.451782,1,0,Base
1.568256,-2.612793,1,0,Base
1.57155,-4.313446,1,0,Base
1.574285,-6.640656,0,0,Base
1.574614,-6.430145,0,0,Base
1.574342,-5.793701,0,0,Base
1.579113,-9.186615,0,0,Base
1.580213,-10.04956,0,0,Base
1.579702,-9.962036,0,0,Base
1.578188,-9.088196,0,0,Base
1.579995,-9.984741,0,0,Base
1.580985,-11.15399,0,0,Base
1.579375,-10.20245,0,0,Base
1.579023,-9.961334,0,0,Base
1.571983,-4.649414,1,0,Base
1.565074,-0.4384155,1,0,Base
1.562633,1.219448,0,0,Base
1.564259,0.2933663,0,0,Base
1.56562,0.001336316,1,0,Base
1.566759,0.1646346,0,0,Base
1.568095,0.1307688,0,0,Base
1.5693,-0.3158569,1,0,Base
1.57145,-1.229523,1,0,Base
1.57574,-2.910675,0,0,Base
1.577758,-2.836823,0,0,Base
1.579404,-3.995972,0,0,Base
1.584016,-5.866364,0,0,Base
1.587221,-7.810547,0,0,Base
1.585268,-6.912964,0,0,Base
1.584787,-6.621613,0,0,Base
1.58478,-6.736725,0,0,Base
1.584441,-6.675568,0,0,Base
1.584614,-6.912811,0,0,Base
1.583407,-6.426575,0,0,Base
1.58281,-6.242737,0,0,Base
1.582875,-6.233337,0,0,Base
1.583093,-6.298767,0,0,Base
1.58309,-6.396729,0,0,Base
1.583212,-6.567474,0,0,Base
1.583241,-6.624664,0,0,Base
1.582691,-6.535889,0,0,Base
1.581762,-6.275909,0,0,Base
1.58041,-5.557922,0,0,Base
1.57982,-5.32132,0,0,Base
1.576566,-3.248627,0,0,Base
1.576992,-3.705139,0,0,Base
1.57789,-4.22934,0,0,Base
1.577574,-4.142151,0,0,Base
1.577328,-3.996796,0,0,Base
1.577526,-4.040894,0,0,Base
1.576787,-3.666931,0,0,Base
1.576442,-3.468536,0,0,Base
1.577134,-3.749512,0,0,Base
1.57804,-4.075378,0,0,Base
1.57819,-4.140228,0,0,Base
1.578453,-4.26004,0,0,Base
1.57845,-4.178589,0,0,Base
1.578792,-4.574158,0,0,Base
1.579117,-4.750458,0,0,Base
1.579106,-4.711975,0,0,Base
1.579314,-4.842316,0,0,Base
1.579023,-4.764832,0,0,Base
1.578064,-4.427856,0,0,Base
1.574972,-2.515259,0,0,Base
1.574484,-2.403076,0,0,Base
1.5747,-2.559143,0,0,Base
1.573524,-2.471069,0,0,Base
1.57314,-2.897095,0,0,Base
1.570828,-2.255035,1,0,Base
1.568219,-0.2284851,1,0,Base
1.56687,0.2808515,0,0,Base
1.563805,1.122572,0,0,Base
1.560837,1.88792,1,0,Base
1.560493,1.930078,1,0,Base
1.561233,1.496706,1,0,Base
1.561659,1.320238,1,0,Base
1.561925,2.070693,1,0,Base
1.563853,2.54114,0,0,Base
1.564782,3.363263,0,0,Base
1.559338,3.216085,1,0,Base
1.558706,3.769447,1,0,Base
1.55952,2.979149,1,0,Base
1.563957,2.749286,0,0,Base
1.559816,2.913263,1,0,Base
1.555377,4.474842,1,0,Base
1.553718,4.570611,1,0,Base
