Height, Angle, State, IsTriggered, Intervention
1.607486,11.57347,0,0,Base
1.610021,10.83924,0,0,Base
1.610877,10.55264,0,0,Base
1.610845,10.11695,0,0,Base
1.611506,10.13333,0,0,Base
1.617333,7.500371,0,0,Base
1.618329,7.409875,0,0,Base
1.616132,8.519249,0,0,Base
1.615876,8.185791,0,0,Base
1.617084,7.168661,0,0,Base
1.616374,7.543324,0,0,Base
1.615692,7.720486,0,0,Base
1.615606,7.739053,0,0,Base
1.615405,7.796594,0,0,Base
1.615321,7.769865,0,0,Base
1.615466,7.805257,0,0,Base
1.615586,7.765279,0,0,Base
1.615625,7.761961,0,0,Base
1.615445,7.838343,0,0,Base
1.61575,7.775341,0,0,Base
1.615666,7.553247,0,0,Base
1.616236,7.206406,0,0,Base
1.616265,7.228056,0,0,Base
1.616734,6.800923,0,0,Base
1.61699,6.731977,0,0,Base
1.617545,6.406161,0,0,Base
1.617389,6.425427,0,0,Base
1.617198,6.441473,0,0,Base
1.617599,6.297406,0,0,Base
1.617643,6.252047,0,0,Base
1.61782,6.085962,0,0,Base
1.617749,6.209406,0,0,Base
1.617308,6.319599,0,0,Base
1.617754,6.144785,0,0,Base
1.617706,6.081382,0,0,Base
1.617816,5.962214,0,0,Base
1.617939,5.855263,0,0,Base
1.617609,6.003213,0,0,Base
1.617512,6.097874,0,0,Base
1.617282,6.210888,0,0,Base
1.617425,6.15729,0,0,Base
1.617432,6.15002,0,0,Base
1.616567,6.500171,0,0,Base
1.616472,6.530466,0,0,Base
1.615883,6.777719,0,0,Base
1.615317,6.977642,0,0,Base
1.615097,7.112671,0,0,Base
1.614914,7.218359,0,0,Base
1.614796,7.26297,0,0,Base
1.614514,7.384546,0,0,Base
1.614229,7.519598,0,0,Base
1.61402,7.689385,0,0,Base
1.613538,7.890458,0,0,Base
1.613415,8.051619,0,0,Base
1.613463,8.029474,0,0,Base
1.613316,8.114271,0,0,Base
1.613278,8.060593,0,0,Base
1.613259,8.044168,0,0,Base
1.612794,8.224416,0,0,Base
1.612718,8.237961,0,0,Base
1.612625,8.288594,0,0,Base
1.61268,8.265388,0,0,Base
1.612963,8.187216,0,0,Base
1.612915,8.189726,0,0,Base
1.612986,8.169012,0,0,Base
1.612823,8.15196,0,0,Base
1.612873,8.122047,0,0,Base
1.612658,8.181416,0,0,Base
1.612279,8.43375,0,0,Base
1.612739,8.327889,0,0,Base
1.6129,8.319098,0,0,Base
1.612744,8.410973,0,0,Base
1.61283,8.417291,0,0,Base
1.612568,8.54125,0,0,Base
1.612794,8.403968,0,0,Base
1.612903,8.355232,0,0,Base
1.612794,8.375866,0,0,Base
1.612432,8.449279,0,0,Base
1.612047,8.658919,0,0,Base
1.612342,8.564478,0,0,Base
1.6124,8.531357,0,0,Base
1.612301,8.594031,0,0,Base
1.612135,8.660203,0,0,Base
1.611884,8.771905,0,0,Base
1.611822,8.798606,0,0,Base
1.612008,8.711427,0,0,Base
1.612086,8.717371,0,0,Base
1.612174,8.684287,0,0,Base
1.612195,8.700809,0,0,Base
1.611965,8.748635,0,0,Base
1.611801,8.864612,0,0,Base
1.611696,8.923777,0,0,Base
1.611479,8.943377,0,0,Base
1.611522,8.908275,0,0,Base
1.611552,8.850414,0,0,Base
1.611354,8.922417,0,0,Base
1.611819,8.743979,0,0,Base
