x,y,z,pitch,yaw,roll,state,trigger,type
-0.1755628,1.50426,-0.1211757,4.094448,6.040055,1.24407,0,0,Grayscale
-0.1757015,1.504355,-0.1200684,4.080974,5.939938,1.291563,0,0,Grayscale
-0.175533,1.504465,-0.1195301,4.086938,5.860667,1.225048,0,0,Grayscale
-0.1752638,1.504251,-0.1195353,4.152105,5.877462,1.26034,0,0,Grayscale
-0.1748474,1.504128,-0.1197959,4.205595,5.854454,1.240181,0,0,Grayscale
-0.174245,1.504158,-0.1204081,4.180342,5.826328,1.200323,0,0,Grayscale
-0.173581,1.504209,-0.1210668,4.117866,5.840446,1.165052,0,0,Grayscale
-0.1729387,1.504228,-0.1215567,4.119955,5.758837,1.219075,0,0,Grayscale
-0.1722729,1.504204,-0.1218621,4.116538,5.727415,1.126422,0,0,Grayscale
-0.1715474,1.504192,-0.1219632,4.114935,5.733849,1.094286,0,0,Grayscale
-0.1705976,1.504042,-0.1217025,4.182011,5.714007,1.017245,0,0,Grayscale
-0.1696236,1.50389,-0.121142,4.229768,5.766624,0.9787056,0,0,Grayscale
-0.1685427,1.503646,-0.1202628,4.396067,5.808323,0.8578579,0,0,Grayscale
-0.1677157,1.503534,-0.1194811,4.417502,5.801874,0.8605095,0,0,Grayscale
-0.1669581,1.503536,-0.1186447,4.403148,5.809482,0.8848023,0,0,Grayscale
-0.1662986,1.503575,-0.1175938,4.437837,5.794359,0.8241487,0,0,Grayscale
-0.1658569,1.503473,-0.1162652,4.480762,5.776764,0.799157,0,0,Grayscale
-0.165554,1.503486,-0.1147093,4.52817,5.732299,0.8754357,0,0,Grayscale
-0.1650328,1.503271,-0.1129393,4.651645,5.69247,0.8266677,0,0,Grayscale
-0.1644449,1.503043,-0.1110988,4.821681,5.793553,0.8043354,0,0,Grayscale
-0.1642551,1.502626,-0.1095573,4.96484,5.740808,0.7903906,0,0,Grayscale
-0.163797,1.502271,-0.1078879,5.096008,5.679844,0.8579091,0,0,Grayscale
-0.16336,1.502226,-0.106227,5.110107,5.700053,0.9141102,0,0,Grayscale
-0.163018,1.502053,-0.1050707,5.129636,5.727416,0.9123175,0,0,Grayscale
-0.1627373,1.502006,-0.1037961,5.171012,5.769585,0.8941092,0,0,Grayscale
-0.1627792,1.501631,-0.1027047,5.288849,5.82869,0.9821064,0,0,Grayscale
-0.1630438,1.501878,-0.1017921,5.190075,5.756862,1.007964,0,0,Grayscale
-0.1632071,1.501936,-0.1008551,5.138437,5.733827,0.9621553,0,0,Grayscale
-0.1632849,1.501566,-0.0995921,5.318395,5.831657,1.000185,0,0,Grayscale
-0.1638204,1.501226,-0.09814171,5.473724,5.785999,1.025594,0,0,Grayscale
-0.1644682,1.501256,-0.09679484,5.504674,5.735617,1.04318,0,0,Grayscale
-0.1652662,1.501174,-0.0954622,5.522434,5.700013,1.022352,0,0,Grayscale
-0.1662161,1.501068,-0.09439475,5.584243,5.487145,1.090746,0,0,Grayscale
-0.1672999,1.50087,-0.09319448,5.698382,5.257405,1.09267,0,0,Grayscale
-0.1686434,1.500958,-0.09207917,5.641272,4.801404,1.283814,0,0,Grayscale
-0.1713631,1.501857,-0.09122279,5.239717,2.994614,1.4179,0,0,Grayscale
-0.176984,1.502895,-0.09145683,4.584261,-1.904053,1.25045,0,0,Grayscale
-0.1850744,1.504168,-0.09352808,3.735273,-9.54599,0.3973901,0,0,Grayscale
-0.1954082,1.506096,-0.09879597,2.544085,-19.3244,0.237848,0,0,Grayscale
-0.2056595,1.507357,-0.1073774,1.677392,-29.9046,0.4764508,0,0,Grayscale
-0.2126368,1.507757,-0.1172053,1.184743,-39.61707,0.3727475,0,0,Grayscale
-0.2155012,1.507981,-0.1259884,0.6428733,-47.92358,0.130376,0,0,Grayscale
-0.2171551,1.508182,-0.1335963,-0.3366089,-56.31845,0.1687805,0,0,Grayscale
-0.2174341,1.507571,-0.1397466,-0.2315063,-63.59253,-0.2107544,0,0,Grayscale
-0.2155501,1.50661,-0.1429537,0.2471539,-67.53583,0.00476186,0,0,Grayscale
-0.2128721,1.506965,-0.1467684,-0.1004944,-70.948,-0.2192993,0,0,Grayscale
-0.2106591,1.50521,-0.1541698,-0.5839233,-75.24542,-0.4204712,0,0,Grayscale
-0.2109931,1.505714,-0.1657274,-1.931946,-82.50458,0.06984169,0,0,Grayscale
-0.2132844,1.508917,-0.1787484,-3.68573,-91.59644,-1.008972,0,0,Grayscale
-0.2168252,1.509626,-0.1863944,-5.536438,-96.27124,-0.8940125,0,0,Grayscale
-0.2246885,1.510687,-0.1892365,-7.796692,-97.14703,-1.791412,0,0,Grayscale
-0.233301,1.512119,-0.1933639,-8.881714,-97.65128,-2.581085,0,0,Grayscale
-0.2395823,1.514073,-0.1949246,-9.356171,-98.83029,-2.480896,0,0,Grayscale
-0.2430671,1.516107,-0.1940066,-8.833374,-99.58633,-1.716278,0,0,Grayscale
-0.2432135,1.516646,-0.1911103,-7.690918,-100.2157,-1.047821,0,0,Grayscale
-0.2412932,1.513419,-0.1863329,-6.25589,-100.3399,-0.4638062,0,0,Grayscale
-0.2361306,1.508748,-0.1805095,-3.486481,-99.50952,0.5372221,0,0,Grayscale
-0.2288812,1.507237,-0.1736104,-3.271271,-97.46686,0.1148219,0,0,Grayscale
-0.2226193,1.506098,-0.1672313,-2.748322,-95.80917,0.2870293,0,0,Grayscale
-0.2167504,1.505955,-0.1632218,-1.807007,-95.19061,-0.1713867,0,0,Grayscale
-0.2095632,1.505596,-0.1630858,-1.339142,-95.57657,-0.7280884,0,0,Grayscale
