x,y,z,pitch,yaw,roll,state,trigger,type
-0.05205715,1.581356,0.6533661,7.634643,3.585431,3.063039,0,0,Grayscale
-0.0513392,1.58132,0.6530067,7.599646,3.666844,3.030357,0,0,Grayscale
-0.05059154,1.581359,0.6527587,7.553855,3.719021,2.995638,0,0,Grayscale
-0.05000395,1.581386,0.6526822,7.573012,3.657109,2.989033,0,0,Grayscale
-0.0495664,1.581158,0.6528451,7.702383,3.522645,2.964306,0,0,Grayscale
-0.04930384,1.581088,0.6532485,7.748103,3.476616,2.917762,0,0,Grayscale
-0.04961789,1.581185,0.653711,7.728597,3.226929,3.041701,0,0,Grayscale
-0.05018656,1.581134,0.6541077,7.796839,3.003457,3.103719,0,0,Grayscale
-0.05070943,1.581244,0.6542236,7.730781,3.034789,3.160804,0,0,Grayscale
-0.05142596,1.581291,0.6540532,7.667698,3.115304,3.261748,0,0,Grayscale
-0.05235775,1.581288,0.6535702,7.615092,3.185108,3.421576,0,0,Grayscale
-0.05337217,1.581566,0.6533428,7.490775,3.158747,3.491903,0,0,Grayscale
-0.05427142,1.581633,0.652936,7.413198,3.143904,3.707553,0,0,Grayscale
-0.05519694,1.581818,0.6527067,7.318341,2.957994,3.81898,0,0,Grayscale
-0.0559418,1.581666,0.6524631,7.346037,2.842347,3.794835,0,0,Grayscale
-0.05652645,1.581567,0.6521447,7.355039,2.879979,3.81237,0,0,Grayscale
-0.05734548,1.581692,0.6519033,7.339068,2.88434,3.905356,0,0,Grayscale
-0.05834799,1.581896,0.652047,7.30442,2.783948,3.906502,0,0,Grayscale
-0.05917335,1.58164,0.6522088,7.452016,2.924716,3.923228,0,0,Grayscale
-0.06025277,1.581732,0.6524773,7.444974,2.877098,3.846047,0,0,Grayscale
-0.06102045,1.581744,0.6525176,7.446393,2.985476,3.815401,0,0,Grayscale
-0.06151349,1.581703,0.6523394,7.429275,3.052384,3.540375,0,0,Grayscale
-0.06215502,1.582189,0.651877,7.232555,3.227077,3.34504,0,0,Grayscale
-0.06309959,1.583386,0.6504335,6.575991,3.349646,3.097313,0,0,Grayscale
-0.06444079,1.584029,0.6490251,6.215694,3.587022,2.975728,0,0,Grayscale
-0.06699248,1.584811,0.6482729,5.914638,3.523381,3.026171,0,0,Grayscale
-0.06989556,1.585633,0.6475722,5.495805,3.571574,2.968239,0,0,Grayscale
-0.07392332,1.586532,0.6462758,5.076396,3.542401,2.861122,0,0,Grayscale
-0.07948852,1.58827,0.643031,4.19595,3.598715,3.121858,0,0,Grayscale
-0.08714461,1.589963,0.6387201,2.954167,3.152731,3.498056,0,0,Grayscale
-0.09569647,1.591006,0.6333701,2.20741,2.902244,3.542848,0,0,Grayscale
-0.1053378,1.593514,0.6290295,0.7476102,2.659414,4.017841,0,0,Grayscale
-0.1142736,1.595866,0.6267486,-0.2633362,2.748919,4.532087,0,0,Grayscale
-0.1220885,1.596524,0.6254767,-0.1848755,3.352986,4.74242,0,0,Grayscale
-0.126384,1.596066,0.6250371,-0.1174011,3.860656,5.17841,0,0,Grayscale
-0.1282276,1.595194,0.6246796,0.3342303,3.990767,5.438429,0,0,Grayscale
-0.1284802,1.594638,0.6246809,0.5603412,4.230918,5.405204,0,0,Grayscale
-0.1272396,1.593835,0.6251019,1.008763,4.664701,5.240227,0,0,Grayscale
-0.1267489,1.593027,0.6262258,1.423944,4.449516,5.153476,0,0,Grayscale
-0.1259403,1.592745,0.6280176,1.699644,4.198671,5.215296,0,0,Grayscale
-0.1229775,1.592716,0.62927,1.758182,5.254854,5.120417,0,0,Grayscale
-0.1152804,1.593152,0.630412,1.377308,10.12401,5.251092,0,0,Grayscale
-0.1005494,1.596174,0.6310121,-0.3250427,21.42564,5.199094,0,0,Grayscale
-0.08187506,1.598919,0.6286138,-1.911682,37.17087,4.625906,0,0,Grayscale
