Height, Angle, State, IsTriggered, Intervention
1.216437,349.8946,0,0,Base
1.215452,350.1098,0,0,Base
1.214758,350.5502,0,0,Base
1.214306,350.6537,0,0,Base
1.214306,350.6537,0,0,Base
1.212994,351.3246,0,0,Base
1.211586,352.2454,0,0,Base
1.200629,357.453,0,0,Base
1.189669,3.997418,0,0,Base
1.181604,8.757608,0,0,Base
1.17267,11.66072,0,0,Base
1.17208,12.23903,0,0,Base
1.177212,10.36053,0,0,Base
1.186896,6.201575,0,0,Base
1.200561,359.3653,0,0,Base
1.210861,353.7548,0,0,Base
1.215459,350.3827,0,0,Base
1.21647,349.196,0,0,Base
1.217212,348.7446,0,0,Base
1.215038,350.8419,0,0,Base
1.216254,350.2233,0,0,Base
1.216436,350.2361,0,0,Base
1.215786,350.2234,0,0,Base
1.21578,350.2498,0,0,Base
1.21569,350.3489,0,0,Base
1.216066,350.26,0,0,Base
1.215956,350.3169,0,0,Base
1.216119,350.2284,0,0,Base
1.216338,350.2668,0,0,Base
1.216359,350.148,0,0,Base
1.216434,350.1844,0,0,Base
1.217058,349.875,0,0,Base
1.217309,349.6627,0,0,Base
1.217406,349.643,0,0,Base
1.21745,349.6133,0,0,Base
1.217696,349.3894,0,0,Base
1.218117,349.2866,0,0,Base
1.218536,349.1454,0,0,Base
1.229248,346.3203,0,0,Icon
1.228876,346.4681,0,0,Icon
1.229219,346.4136,0,0,Icon
1.229219,346.4136,0,0,Icon
1.229226,346.4393,0,0,Icon
1.229278,346.3655,0,0,Icon
1.229416,346.3106,0,0,Icon
1.229528,346.2115,0,0,Icon
1.229502,346.239,0,0,Icon
1.229356,346.4017,0,0,Icon
1.229518,346.2913,0,0,Icon
1.229775,346.2573,0,0,Icon
1.229741,346.2648,0,0,Icon
1.22961,346.3286,0,0,Icon
