x,y,z,pitch,yaw,roll,state,trigger,type
-0.0816837,1.680636,-0.1780335,-5.931549,7.146469,-2.321991,1,0,Base
-0.08182204,1.680637,-0.1783484,-5.979553,6.936105,-2.303192,1,0,Base
-0.08172276,1.680396,-0.1787203,-5.892914,7.026769,-2.369843,1,0,Base
-0.08189381,1.680517,-0.1793831,-5.909912,6.983792,-2.308228,1,0,Base
-0.08198231,1.679835,-0.1795409,-5.5224,6.859963,-2.417114,1,0,Base
-0.08111457,1.680463,-0.1795582,-5.642761,7.184107,-2.359497,1,0,Base
-0.0797125,1.680115,-0.1799378,-5.239441,7.815255,-2.605865,1,0,Base
-0.07596295,1.679664,-0.1799439,-4.837067,9.606312,-2.800629,1,0,Base
-0.07253281,1.679004,-0.1800303,-4.516479,11.93581,-2.869476,1,0,Base
-0.06872787,1.67886,-0.1806103,-4.168213,15.06596,-2.58905,1,0,Base
-0.06411339,1.678702,-0.1810247,-3.918732,18.73232,-2.526245,1,0,Base
-0.05670655,1.678332,-0.1824104,-3.394989,24.87103,-2.560516,1,0,Base
-0.04714899,1.674713,-0.1850834,-2.867035,34.39383,-1.938477,1,0,Base
-0.04247253,1.663271,-0.192071,0.8369858,45.61055,-1.672821,0,0,Base
-0.04518481,1.662806,-0.2012918,1.209128,58.32074,-1.760101,0,0,Base
-0.04803221,1.664779,-0.2059683,0.9478819,71.09972,-0.732666,0,0,Base
-0.05343603,1.66154,-0.2117329,0.5385329,80.42546,0.6069985,0,0,Base
-0.05937721,1.662825,-0.21895,0.4448179,86.3914,1.211393,0,0,Base
-0.06414174,1.665123,-0.2304734,-1.444672,92.35525,1.226059,0,0,Base
-0.06608671,1.665871,-0.2446624,-3.369965,98.15838,0.9027991,0,0,Base
-0.06171423,1.668084,-0.2575854,-4.30661,103.7094,0.9245462,0,0,Base
-0.06043466,1.664748,-0.2659103,-2.78186,110.5645,-0.2831421,0,0,Base
-0.06612244,1.669474,-0.2649371,-2.686676,119.5189,-0.3415527,0,0,Base
-0.07907397,1.665842,-0.258653,-2.573883,130.8476,-2.122284,0,0,Base
-0.08742246,1.670161,-0.2468837,-3.43811,139.5746,0.1297883,0,0,Base
-0.09359574,1.667824,-0.2341489,-3.335846,142.6655,1.134248,0,0,Base
-0.09338162,1.669338,-0.2222504,-3.211029,141.0158,0.4671781,0,0,Base
-0.08378844,1.66752,-0.2058385,-1.939301,131.5721,0.04287487,0,0,Base
-0.0660499,1.668358,-0.1817691,-1.933838,112.8894,-0.3640442,0,0,Base
-0.05374016,1.667022,-0.1499272,-1.10318,86.95811,-1.132843,0,0,Base
-0.05744181,1.664662,-0.1200349,-1.024872,58.4656,-0.7710571,0,0,Base
-0.07821798,1.65993,-0.1052159,1.195757,30.3772,-0.3610535,0,0,Base
