x,y,z,pitch,yaw,roll,state,trigger,type
-0.01535697,1.141011,-0.04025287,-12.79257,7.863081,1.114401,0,0,Grayscale
-0.01553055,1.140834,-0.04000192,-12.75543,7.688365,1.108104,0,0,Grayscale
-0.01556492,1.14081,-0.03967867,-12.62302,7.584204,0.9723944,0,0,Grayscale
-0.01542169,1.14061,-0.03954196,-12.5647,7.62138,0.9693465,0,0,Grayscale
-0.01559659,1.140626,-0.03957597,-12.5567,7.456758,0.9581342,0,0,Grayscale
-0.0161346,1.140683,-0.03959219,-12.60065,7.002518,0.8367505,0,0,Grayscale
-0.01681537,1.140832,-0.0394997,-12.72302,6.576773,0.8542716,0,0,Grayscale
-0.01743881,1.140869,-0.03936971,-12.61606,6.187597,0.7208718,0,0,Grayscale
-0.0181253,1.140761,-0.03928551,-12.61905,5.817272,0.7144481,0,0,Grayscale
-0.0190279,1.140544,-0.03895882,-12.4382,5.22656,0.7193565,0,0,Grayscale
-0.02027914,1.139997,-0.03841944,-12.15964,4.171664,0.7355002,0,0,Grayscale
-0.02337616,1.138125,-0.0379616,-11.06772,1.971367,0.5808904,0,0,Grayscale
-0.02973923,1.135022,-0.03723827,-9.171539,-2.677734,0.456946,0,0,Grayscale
-0.03865711,1.1292,-0.03648471,-5.644501,-7.983643,-0.1486206,0,0,Grayscale
-0.04788162,1.128085,-0.03469037,-5.364288,-13.33792,-0.01800537,0,0,Grayscale
-0.0532597,1.128109,-0.03429168,-5.505005,-14.85767,0.6138302,0,0,Grayscale
-0.05482279,1.128944,-0.03483093,-6.027954,-14.23172,1.15807,0,0,Grayscale
-0.05403532,1.130062,-0.03601705,-6.746368,-13.00235,1.609782,0,0,Grayscale
-0.05191222,1.131797,-0.0379247,-7.640533,-12.09665,1.861678,0,0,Grayscale
-0.05007907,1.133282,-0.03954862,-8.496887,-11.59152,1.96385,0,0,Grayscale
-0.04797179,1.13479,-0.04118489,-9.366882,-10.99567,1.820539,0,0,Grayscale
-0.04651341,1.135567,-0.04215016,-9.822174,-10.45245,1.593514,0,0,Grayscale
-0.04544463,1.136134,-0.04247119,-10.11789,-9.772125,1.517852,0,0,Grayscale
-0.04502159,1.136485,-0.04229226,-10.29538,-9.413757,1.591969,0,0,Grayscale
-0.0445286,1.136643,-0.04168899,-10.30511,-9.068237,1.536804,0,0,Grayscale
-0.0435233,1.1365,-0.04115169,-10.26044,-8.532257,1.57236,0,0,Grayscale
-0.04352337,1.136801,-0.04118301,-10.41666,-8.93808,1.526537,0,0,Grayscale
-0.04400497,1.137023,-0.04168373,-10.57617,-9.403503,1.529467,0,0,Grayscale
-0.04444907,1.137283,-0.0422007,-10.77292,-9.614136,1.525482,0,0,Grayscale
-0.0448284,1.137474,-0.04269554,-10.93219,-9.759094,1.497494,0,0,Grayscale
-0.04511985,1.137572,-0.04294833,-11.03339,-9.878967,1.438948,0,0,Grayscale
-0.0452284,1.13785,-0.04301423,-11.17343,-9.910217,1.467732,0,0,Grayscale
-0.04536143,1.137807,-0.04298655,-11.1792,-9.969238,1.639688,0,0,Grayscale
-0.04535997,1.137826,-0.04309996,-11.12909,-9.871124,1.492458,0,0,Grayscale
-0.04451407,1.138074,-0.04328397,-11.35251,-9.093079,1.582986,0,0,Grayscale
-0.04275617,1.138506,-0.04328353,-11.5661,-7.830566,1.615372,0,0,Grayscale
-0.04108152,1.138909,-0.04349148,-11.80484,-7.07019,1.560948,0,0,Grayscale
-0.03959914,1.139118,-0.04371485,-11.9187,-6.507996,1.405929,0,0,Grayscale
-0.03863479,1.139161,-0.04383871,-11.9718,-6.171936,1.31113,0,0,Grayscale
-0.03838132,1.139423,-0.04406889,-12.05389,-6.215271,1.198923,0,0,Grayscale
-0.03852432,1.139394,-0.04420858,-12.0437,-6.227417,1.178998,0,0,Grayscale
-0.03877376,1.139289,-0.04402944,-11.93118,-6.088104,1.207723,0,0,Grayscale
-0.03907001,1.138993,-0.04390944,-11.84161,-6.166504,1.331526,0,0,Grayscale
-0.03906495,1.139042,-0.04387536,-11.86215,-6.216278,1.383786,0,0,Grayscale
-0.03873633,1.138978,-0.04393598,-11.90039,-6.098694,1.342257,0,0,Grayscale
-0.03855137,1.138875,-0.04388035,-11.89819,-6.08548,1.289275,0,0,Grayscale
-0.03855162,1.13879,-0.04369618,-11.85312,-6.060822,1.299922,0,0,Grayscale
-0.03865932,1.138694,-0.04340418,-11.75543,-6.146973,1.325885,0,0,Grayscale
-0.03861773,1.13852,-0.04312024,-11.68756,-6.086639,1.292142,0,0,Grayscale
-0.0385723,1.138514,-0.04288996,-11.62534,-6.076233,1.176721,0,0,Grayscale
-0.03839809,1.138373,-0.04287309,-11.60266,-5.976746,1.296242,0,0,Grayscale
-0.03820321,1.138429,-0.04291335,-11.61096,-5.926636,1.253495,0,0,Grayscale
-0.03814257,1.138536,-0.04297751,-11.63058,-5.971954,1.215245,0,0,Grayscale
-0.03814007,1.138606,-0.04295919,-11.66745,-5.994843,1.159909,0,0,Grayscale
-0.03821004,1.138507,-0.04285999,-11.61288,-5.978943,1.174853,0,0,Grayscale
-0.03853522,1.138439,-0.04270674,-11.56195,-6.11676,1.200078,0,0,Grayscale
-0.03871358,1.138445,-0.04258494,-11.5809,-6.136566,1.237519,0,0,Grayscale
-0.038761,1.138463,-0.04246093,-11.5466,-6.188629,1.259253,0,0,Grayscale
-0.03873575,1.138466,-0.04250386,-11.54346,-6.112518,1.196303,0,0,Grayscale
-0.03896371,1.13852,-0.0426485,-11.59799,-6.254517,1.204259,0,0,Grayscale
-0.04027076,1.138409,-0.04260127,-11.55753,-7.604065,1.275669,0,0,Grayscale
-0.04952106,1.137609,-0.04312777,-11.22861,-13.71933,1.831451,0,0,Grayscale
-0.07266672,1.134901,-0.04768175,-9.945496,-29.11606,3.039742,0,0,Grayscale
-0.09352835,1.13059,-0.05353174,-8.272186,-40.61755,4.183361,0,0,Grayscale
-0.1097309,1.126268,-0.05994935,-6.502991,-49.108,5.201723,0,0,Grayscale
-0.123775,1.122146,-0.06694305,-5.014771,-56.09467,5.090821,0,0,Grayscale
-0.1309534,1.119839,-0.06937671,-4.284821,-58.44818,5.006159,0,0,Grayscale
-0.1283025,1.120659,-0.06353574,-4.777954,-52.41702,4.848149,0,0,Grayscale
-0.1123527,1.124556,-0.04948178,-6.327301,-38.49643,5.825677,0,0,Grayscale
-0.09226125,1.129836,-0.04043924,-9.064209,-26.7973,6.798731,0,0,Grayscale
-0.0784246,1.133183,-0.03859454,-10.63028,-22.22,6.213006,0,0,Grayscale
-0.06930817,1.134377,-0.03779124,-11.06418,-20.02747,5.005834,0,0,Grayscale
-0.06416357,1.135058,-0.03738948,-11.41019,-19.63422,3.774529,0,0,Grayscale
-0.06371183,1.136376,-0.03810924,-12.4592,-22.20435,1.759696,0,0,Grayscale
-0.06792346,1.137163,-0.03993087,-13.03806,-26.10562,0.5964547,0,0,Grayscale
-0.0698673,1.137154,-0.04045789,-13.10373,-26.89178,0.3947127,0,0,Grayscale
-0.07095211,1.136968,-0.04042989,-12.90033,-26.48969,0.6495022,0,0,Grayscale
-0.07127668,1.136715,-0.0401978,-12.67929,-26.37634,0.8321207,0,0,Grayscale
-0.07137515,1.136704,-0.03992508,-12.8436,-26.56012,0.7246274,0,0,Grayscale
-0.07176453,1.136706,-0.03992499,-12.88629,-26.95898,0.5597767,0,0,Grayscale
-0.07239045,1.136541,-0.0401655,-12.79083,-27.27957,0.6673098,0,0,Grayscale
-0.07277268,1.136325,-0.04041286,-12.77893,-27.40845,0.8032026,0,0,Grayscale
-0.07294361,1.136322,-0.0404054,-12.70166,-27.42987,0.9065401,0,0,Grayscale
-0.07304098,1.136311,-0.04039178,-12.71228,-27.42822,0.8043226,0,0,Grayscale
